id	mode	old_offset	new_offset	old_size	new_size	refs_updated
ODYSSEY-TXT-000077	relocated	0x017232D	0x1413A9C	29	37	0x0A3B6D4
ODYSSEY-TXT-000078	relocated	0x0172398	0x1413AC4	60	62	0x0160598
ODYSSEY-TXT-000079	relocated	0x0172433	0x1413B04	79	78	0x0AF2E1C
ODYSSEY-TXT-000080	relocated	0x0172434	0x1413B54	78	78	0x0AA2948
ODYSSEY-TXT-000081	inplace	0x0172482	0x0172482	61	61	
ODYSSEY-TXT-000082	inplace	0x01724BF	0x01724BF	29	26	
ODYSSEY-TXT-000083	relocated	0x0172514	0x1413BA4	7	10	0x0A54518
ODYSSEY-TXT-000084	relocated	0x017253F	0x1413BB0	26	32	0x0A919FC
ODYSSEY-TXT-000085	relocated	0x0172736	0x1413BD0	61	75	0x0AB0144
ODYSSEY-TXT-000086	relocated	0x0172737	0x1413C1C	60	75	0x0AFB4D4
ODYSSEY-TXT-000087	inplace	0x0172809	0x0172809	20	18	
ODYSSEY-TXT-000088	relocated	0x017281D	0x1413C68	39	43	0x0160614
ODYSSEY-TXT-000090	relocated	0x0172844	0x1413C94	31	36	0x0160618
ODYSSEY-TXT-000091	relocated	0x01729AC	0x1413CB8	62	70	0x016064C
ODYSSEY-TXT-000092	relocated	0x01729EA	0x1413D00	48	52	0x0160670
ODYSSEY-TXT-000093	relocated	0x0172A1A	0x1413D34	12	13	0x0160674
ODYSSEY-TXT-000094	relocated	0x0172AE0	0x1413D44	32	38	0x01605F0
ODYSSEY-TXT-000095	relocated	0x0172B00	0x1413D6C	100	125	0x01ACE14
ODYSSEY-TXT-000096	relocated	0x0172B64	0x1413DEC	53	71	0x01606E0
ODYSSEY-TXT-000097	relocated	0x0172BAB	0x1413E34	43	50	0x0160700
ODYSSEY-TXT-000098	relocated	0x0172CCB	0x1413E68	49	59	0x01607F4
ODYSSEY-TXT-000099	relocated	0x0172D82	0x1413EA4	45	48	0x0160818
ODYSSEY-TXT-000100	inplace	0x0172DAF	0x0172DAF	18	18	
ODYSSEY-TXT-000102	relocated	0x01732C6	0x1413ED4	66	70	0x0160A74
ODYSSEY-TXT-000103	relocated	0x0173421	0x1413F1C	8	13	0x06AECA0
ODYSSEY-TXT-000104	relocated	0x017345A	0x1413F2C	8	11	0x0E8697C
ODYSSEY-TXT-000105	relocated	0x01734A0	0x1413F38	51	66	0x0160B20
ODYSSEY-TXT-000106	relocated	0x01737D2	0x1413F7C	95	107	0x0160B90
ODYSSEY-TXT-000107	inplace	0x0173903	0x0173903	56	53	
